,car_brand,car_name,year,km_driven,fuel,transmission,price,city
657,Tata,Tata TiagoXT,2023,"38,000kms",Petrol,Manual,₹5.85 Lakh,Hyderabad
658,Maruti,Maruti BalenoAlpha Diesel,2021,"34,296kms",Diesel,Manual,₹6.09 Lakh,Hyderabad
659,Maruti,Maruti Vitara BrezzaZXI Plus Dual Tone,2020,"1,22,979kms",Petrol,Manual,₹6.37 Lakh,Hyderabad
660,Volkswagen,Volkswagen Vento1.2 Highline Plus AT 16 Alloy,2018,"67,039kms",Petrol,Automatic,₹6.09 Lakh,Hyderabad
661,Renault,Renault KigerRXZ Turbo CVT DT,2021,"41,952kms",Petrol,Automatic,₹7.28 Lakh,Hyderabad
662,Maruti,Maruti Vitara BrezzaZXI Plus,2022,"48,501kms",Petrol,Manual,₹9.95 Lakh,Hyderabad
663,Maruti,Maruti Vitara BrezzaZDi,2018,"75,591kms",Diesel,Manual,₹7.23 Lakh,Hyderabad
664,Maruti,Maruti Vitara BrezzaZXI Plus Dual Tone,2020,"1,22,979kms",Petrol,Manual,₹6.37 Lakh,Hyderabad
665,Volkswagen,Volkswagen Vento1.2 Highline Plus AT 16 Alloy,2018,"67,039kms",Petrol,Automatic,₹6.09 Lakh,Hyderabad
666,Renault,Renault KigerRXZ Turbo CVT DT,2021,"41,952kms",Petrol,Automatic,₹7.28 Lakh,Hyderabad
667,Maruti,Maruti Vitara BrezzaZXI Plus,2022,"48,501kms",Petrol,Manual,₹9.95 Lakh,Hyderabad
668,Maruti,Maruti Vitara BrezzaZDi,2018,"75,591kms",Diesel,Manual,₹7.23 Lakh,Hyderabad
669,Mahindra,Mahindra XUV300W8 AMT Optional Diesel BSVI,2019,"64,827kms",Diesel,Automatic,₹8.80 Lakh,Hyderabad
670,Maruti,Maruti Baleno1.2 CVT Alpha,2018,"60,641kms",Petrol,Automatic,₹6.02 Lakh,Hyderabad
671,Hyundai,Hyundai VenueSX Opt Diesel,2022,"64,865kms",Diesel,Manual,₹9.79 Lakh,Hyderabad
672,Hyundai,Hyundai Creta1.6 SX,2016,"98,273kms",Petrol,Manual,₹7.43 Lakh,Hyderabad
673,Maruti,Maruti Ciaz1.4 AT Alpha,2018,"1,04,851kms",Petrol,Automatic,₹6.23 Lakh,Hyderabad
674,Maruti,Maruti DzireZXI,2017,"69,411kms",Petrol,Manual,₹6.09 Lakh,Hyderabad
675,Honda,Honda WR-Vi-DTEC S,2021,"1,16,190kms",Diesel,Manual,₹6.83 Lakh,Hyderabad
676,Honda,Honda WR-Vi-VTEC VX,2022,"12,635kms",Petrol,Manual,₹7.81 Lakh,Hyderabad
677,Renault,Renault KigerRXZ Turbo DT,2022,"44,904kms",Petrol,Manual,₹7.42 Lakh,Hyderabad
678,Renault,Renault KigerRXZ,2022,"37,725kms",Petrol,Manual,₹6.44 Lakh,Hyderabad
679,Honda,Honda BR-VStyle Edition Diesel S,2018,"79,006kms",Diesel,Manual,₹6.59 Lakh,Hyderabad
680,Hyundai,Hyundai VenueSX Opt Diesel,2021,"52,318kms",Diesel,Manual,₹8.79 Lakh,Hyderabad
681,Hyundai,Hyundai AuraSX Plus AMT Diesel,2023,"34,520kms",Diesel,Automatic,₹7.20 Lakh,Hyderabad
682,Tata,Tata HarrierXZ BSIV,2019,"78,500kms",Diesel,Manual,₹7.80 Lakh,Hyderabad
683,Hyundai,Hyundai VernaCRDi 1.6 AT SX Plus,2018,"1,10,941kms",Diesel,Automatic,₹8.50 Lakh,Hyderabad
684,Honda,Honda BR-VStyle Edition Diesel S,2018,"79,006kms",Diesel,Manual,₹6.59 Lakh,Hyderabad
